id,text
OD-S3-001,Primary outcome: improve Advertising Contribution Profit efficiency while preserving current sales volume.
OD-S3-002,Operations Lead is the primary decision owner; scoped Marketplace Operator is Maker; Finance owns financial truth; Owner retains material-risk approval.
OD-S3-003,Atomic Case: minimum verified independently controllable native advertising object plus complete affected Internal Variant set.
OD-S3-004,Common business Case envelope with versioned platform-native Ozon/Wildberries Semantic Profiles.
OD-S3-005,Dual authority: Provider-native attribution remains observation; company qualified sales and canonical profit govern business protection/outcome.
OD-S3-006,Completed Sales provide the early safety Guard; 30-day Retained Sales provide the primary final sales-protection result.
OD-S3-007,"Dual-axis Pareto efficiency: absolute Advertising Contribution Profit plus Contribution Profit per official advertising RUB, with sales preservation."
OD-S3-008,"Loss reduction that remains negative is `IMPROVED_NOT_HEALTHY`, never healthy efficiency success."
OD-S3-009,Directional asymmetric fail-closed behavior: full proof for Increase; Fresh one-sided danger may support Protection; unknown alone has no direction authority.
OD-S3-010,"Deterministic lanes: Protection, Data Repair, Optimization and Watch."
OD-S3-011,Both platforms receive a full governed Manual Shadow path plus exactly one selected controlled-write Capability.
OD-S3-012,The selected controlled-write Capability is `AD_BID_CHANGE`; Budget/status/structure remain manual or future scope.
OD-S3-013,Separate bid directions: Protection Decrease and verified Optimization Increase; exact prior-Bid Compensation is a distinct recovery path.
OD-S3-014,Maker-Checker approval: scoped Operator Maker; Operations endorsement; Owner final approval for Material; later Ordinary uses distinct Operations final approval.
OD-S3-015,"Materiality is deterministic, multi-axis and non-compensating."
OD-S3-016,Initial Ordinary nonzero envelope is zero; every nonzero Bid Command is Material; Standing automation is disabled.
OD-S3-017,Configuration success requires exact approved native target under versioned representation normalization; unknown/mismatch remain first-class.
OD-S3-018,Generic same-object reentry is disabled pending Release/Pilot calibration; exact Compensation is the only initial bypass.
OD-S3-019,"Compensation is human-triggered, exact prior-Bid only, current-state-owned, freshly approved and never automatic rollback."
OD-S3-020,"Accepted Exception is exclusive governed risk acceptance: matching SLA may pause, risk remains visible, and no Command authority or coexistence is created."
OD-S3-021,Internal SLO: Protection/Regression P95 <= 5m and hard <= 15m; other targeted updates hard <= 15m; full reconciliation at least hourly.
OD-S3-022,"Freshness authority is versioned by source/evidence kind, platform scope and decision purpose."
OD-S3-023,Provider idempotency is Capability-profiled: native idempotency when verified; otherwise single-attempt default and Retry only on explicit verified `NOT_APPLIED`.
OD-S3-024,"Outcome baseline is versioned, action-bound and comparable; material confounder or insufficient history yields an inconclusive state."
OD-S3-025,Dual-platform business capability is fully engineered; real Provider paths are independently evidence-gated; engineering closure is separate from Release.
OD-S3-026,"Outcome materiality uses a versioned, scoped threshold Policy with default-deny missing/conflict semantics."
OD-S3-027,"Optimization qualification uses a versioned, scoped, purpose-tiered Evidence Profile."
OD-S3-028,Human response uses versioned lane-specific two-stage coverage-aware SLO Profiles.
OD-S3-029,"Target authority uses deterministic bounded exact candidate sets; Max CPC is the write-grade ceiling, not the automatic target."
OD-S3-030,"Write-grade conversion is versioned, stage-consistent and deterministically ad-linked; Provider conversion is observation-only."
OD-S3-031,One Target Policy supports two explicit bases: `MAX_CPC_BOUNDED` or `CAUSE_BOUND_PROTECTION_STEP`.
OD-S3-032,Affected-set action observation reservation permits only one active overlapping governed advertising intervention.
OD-S3-033,Cause-verified Protection outcomes are distinct from primary efficiency success.
OD-S3-034,Company total sales must pass and action-time frozen critical sales units have non-offsettable protection.
OD-S3-035,Canonical evaluation uses complete evidence; Maker receives minimum authorized disclosure; endorser/approver receive responsibility-complete evidence.
OD-S3-036,"Manual configuration verification is graded: official machine evidence first, independent scoped human verification as fallback, never promoted to API evidence."
OD-S3-037,Advertising profit Outcome is two-stage: 30-day Operational result followed by Settled confirmation.
OD-S3-038,"Regression quarantine is cause-proportional: affected object/set first, then all invalid shared-authority consumers or exact Capability scope."
OD-S3-039,Provider transmission is the final external side-effect boundary; current quarantine/authority is revalidated immediately before sending.
OD-S3-040,"Canonical intra-lane priority is non-compensating, reason-coded and lexicographic."
OD-S3-041,Emergency containment is asymmetric: multiple scoped actors may stop; cause-specific multi-party evidence and Owner approval are required to reenable.
OD-S3-042,Approval uses a versioned scoped non-renewable Lease bounded by the earliest dependent authority expiry.
OD-S3-043,"Gate E requires a layered, scope-monotonic Pilot Evidence Bundle covering technical, workflow and early safety evidence."
OD-S3-044,Pilot concurrency uses a versioned non-compensating multi-axis aggregate Exposure Envelope with reserved recovery headroom.
OD-S3-045,Ordinary-route promotion is Direction/Candidate-Basis/Scope-specific and requires mature all-Material evidence; it remains per-command human approval.
OD-S3-046,"Interdependent decision policies activate as one scope-bound, whole-combination-validated Advertising Decision Policy Bundle."
OD-S3-047,"Live Queue, Daily Action Brief and Weekly Evidence Review share one Canonical Truth and distinct real-time/daily/weekly roles."
