npm verbose cli /Users/chzhengx/Library/Application Support/fnm/node-versions/v24.19.0/installation/bin/node /Users/chzhengx/Library/Application Support/fnm/node-versions/v24.19.0/installation/bin/npm
npm info using npm@11.17.0
npm info using node@v24.19.0
npm verbose title npm ci
npm verbose argv "ci" "--include" "dev" "--include" "optional" "--loglevel" "verbose"
npm verbose logfile logs-max:10 dir:/tmp/slice3-quality-r5-npm-logs/2026-09-05T10_50_22_635Z-
npm verbose logfile /tmp/slice3-quality-r5-npm-logs/2026-09-05T10_50_22_635Z-debug-0.log
npm http cache yocto-queue@https://registry.npmjs.org/yocto-queue/-/yocto-queue-0.1.0.tgz 1ms (cache hit)
npm http cache yallist@https://registry.npmjs.org/yallist/-/yallist-5.0.0.tgz 0ms (cache hit)
npm http cache xmlchars@https://registry.npmjs.org/xmlchars/-/xmlchars-2.2.0.tgz 0ms (cache hit)
npm http cache xml-name-validator@https://registry.npmjs.org/xml-name-validator/-/xml-name-validator-5.0.0.tgz 0ms (cache hit)
npm http cache wrap-ansi-cjs@https://registry.npmjs.org/wrap-ansi/-/wrap-ansi-7.0.0.tgz 0ms (cache hit)
npm http cache wrappy@https://registry.npmjs.org/wrappy/-/wrappy-1.0.2.tgz 0ms (cache hit)
npm http cache word-wrap@https://registry.npmjs.org/word-wrap/-/word-wrap-1.2.5.tgz 0ms (cache hit)
npm http cache why-is-node-running@https://registry.npmjs.org/why-is-node-running/-/why-is-node-running-2.3.0.tgz 0ms (cache hit)
npm http cache wrap-ansi@https://registry.npmjs.org/wrap-ansi/-/wrap-ansi-8.1.0.tgz 0ms (cache hit)
npm http cache which@https://registry.npmjs.org/which/-/which-2.0.2.tgz 0ms (cache hit)
npm http cache whatwg-url@https://registry.npmjs.org/whatwg-url/-/whatwg-url-17.1.0.tgz 0ms (cache hit)
npm http cache xmlbuilder2@https://registry.npmjs.org/xmlbuilder2/-/xmlbuilder2-4.0.3.tgz 0ms (cache hit)
npm http cache webidl-conversions@https://registry.npmjs.org/webidl-conversions/-/webidl-conversions-8.0.1.tgz 0ms (cache hit)
npm http cache whatwg-mimetype@https://registry.npmjs.org/whatwg-mimetype/-/whatwg-mimetype-5.0.0.tgz 0ms (cache hit)
npm http cache vitest@https://registry.npmjs.org/vitest/-/vitest-4.1.10.tgz 0ms (cache hit)
npm http cache uri-js@https://registry.npmjs.org/uri-js/-/uri-js-4.4.1.tgz 0ms (cache hit)
npm http cache w3c-xmlserializer@https://registry.npmjs.org/w3c-xmlserializer/-/w3c-xmlserializer-5.0.0.tgz 0ms (cache hit)
npm http cache util-deprecate@https://registry.npmjs.org/util-deprecate/-/util-deprecate-1.0.2.tgz 0ms (cache hit)
npm http cache unique-filename@https://registry.npmjs.org/unique-filename/-/unique-filename-4.0.0.tgz 0ms (cache hit)
npm http cache unique-slug@https://registry.npmjs.org/unique-slug/-/unique-slug-5.0.0.tgz 0ms (cache hit)
npm http cache validate-npm-package-license@https://registry.npmjs.org/validate-npm-package-license/-/validate-npm-package-license-3.0.4.tgz 0ms (cache hit)
npm http cache undici-types@https://registry.npmjs.org/undici-types/-/undici-types-7.16.0.tgz 0ms (cache hit)
npm http cache vite@https://registry.npmjs.org/vite/-/vite-8.2.1.tgz 0ms (cache hit)
npm http cache typescript@https://registry.npmjs.org/typescript/-/typescript-6.0.3.tgz 0ms (cache hit)
npm http cache undici@https://registry.npmjs.org/undici/-/undici-8.10.0.tgz 0ms (cache hit)
npm http cache typescript-eslint@https://registry.npmjs.org/typescript-eslint/-/typescript-eslint-8.67.0.tgz 0ms (cache hit)
npm http cache tunnel-agent@https://registry.npmjs.org/tunnel-agent/-/tunnel-agent-0.6.0.tgz 0ms (cache hit)
npm http cache tr46@https://registry.npmjs.org/tr46/-/tr46-6.0.0.tgz 0ms (cache hit)
npm http cache ts-api-utils@https://registry.npmjs.org/ts-api-utils/-/ts-api-utils-2.5.0.tgz 0ms (cache hit)
npm http cache tough-cookie@https://registry.npmjs.org/tough-cookie/-/tough-cookie-6.0.2.tgz 0ms (cache hit)
npm http cache tinyglobby@https://registry.npmjs.org/tinyglobby/-/tinyglobby-0.2.17.tgz 0ms (cache hit)
npm http cache type-check@https://registry.npmjs.org/type-check/-/type-check-0.4.0.tgz 0ms (cache hit)
