id,text
S3-AC-001,repository contains the exact Human Owner-accepted Contract bytes and attributable acceptance evidence.
S3-AC-002,"canonical path, Contract SHA-256, source protected-main commit/tree and predecessor Snapshot identities are synchronized without mutation."
S3-AC-003,canonical state advances to SLICE-V1-003 Full-Scope Implementation only after exact acceptance and preserves every SLICE-V1-002 accepted identity.
S3-AC-004,roadmap preserves the Advertising & Traffic Efficiency outcome and records `AD_BID_CHANGE` as the selected controlled-write family.
S3-AC-005,"SLICE-V1-002 `STOCK_CHANGE`, replenishment quantity, Overstock, Allocation and Transfer remain unopened."
S3-AC-006,"Shared Spine architecture tests prevent a parallel ingestion, Metric, Policy, workflow, Command, Readback, Bundle or audit authority."
S3-AC-007,conditional Design Gate remains untriggered or any later trigger follows the exact governance path.
S3-AC-008,"no Release, Gate EV, Gate E, Pilot, deployment or production-write authority is claimed by source completion, tests, merge or this Contract."
S3-AC-009,"every atomic Case binds Organization, Platform, Account/Store, minimum verified controllable native object, lineage, bidding mode and Semantic Profile."
S3-AC-010,every atomic Case binds the exact complete affected Internal Variant set and a stable digest/version.
S3-AC-011,a native object controlling multiple Variants cannot be split into separately executable estimated-SKU Cases.
S3-AC-012,"Campaign, ad-group, Target, Keyword and SKU relationships remain queryable without inventing unsupported Provider control granularity."
S3-AC-013,"Ozon and Wildberries Profiles preserve their different object, status, attribution, unit, precision, step, quota and Readback semantics."
S3-AC-014,unknown native states/fields/modes fail closed for every dependent decision.
S3-AC-015,"a native object, lineage or bidding-mode change invalidates stale executable assets unless exact versioned continuity is proven."
S3-AC-016,backend scope enforcement prevents horizontal and vertical Organization/Platform/Store/Product/Data/Action escalation.
S3-AC-017,the Maker can identify the exact controlled object and complete affected-set without automatically receiving unauthorized cross-Store or finance detail.
S3-AC-018,Operations Lead and final approver cannot endorse/approve without the evidence scope required by their responsibility.
S3-AC-019,"permission masking is distinguishable from an actual data gap, and Task/Approval participation grants no implicit access."
S3-AC-020,"API, export, notification, attachment, error and AI views enforce the same role/scope disclosure contract."
S3-AC-021,"official advertising configuration, Spend and traffic facts retain Raw provenance, source times, correction history and Profile identity."
S3-AC-022,"missing platform metrics remain `NOT_AVAILABLE`, never zero."
S3-AC-023,late/corrected official Spend triggers attributable recalculation without overwriting history.
S3-AC-024,Provider-native attributed Orders/Revenue/Conversion remain separately visible Provider observations.
S3-AC-025,"Provider attribution cannot by itself populate company sales, canonical ad-linked conversion or final profit."
S3-AC-026,"estimated SKU Spend remains visibly estimated and cannot independently support high-risk Recommendation, write or Settled result."
S3-AC-027,"company Order, Completed, Retained and Settled sale stages remain distinct."
S3-AC-028,Completed Sales drive the early safety Guard; 30-day Retained Sales drive final sales protection.
S3-AC-029,complete affected-set company total sales must pass the frozen preservation rule.
S3-AC-030,every frozen required critical sales unit must independently pass; growth elsewhere cannot offset failure.
S3-AC-031,missing critical-unit evidence yields unresolved/inconclusive rather than pass or zero.
S3-AC-032,"Advertising Contribution Profit is reconstructable from governed sales, COGS, fees, fulfillment, return loss, official Spend and applicable variable facts."
S3-AC-033,absolute Advertising Contribution Profit and Contribution Profit per official advertising RUB are calculated under exact versions.
S3-AC-034,primary efficiency success requires the sales rule plus one material profit-axis improvement and no material worsening on the other axis.
S3-AC-035,a still-negative result remains `IMPROVED_NOT_HEALTHY` or Protection-in-progress rather than healthy success.
S3-AC-036,"Operational and Settled profit facts remain stage-distinct and expose evidence, window, version, Freshness, Confidence and gaps."
S3-AC-037,Provider-native conversion remains observation-only and company total sales divided by ad Clicks is rejected as canonical object conversion.
S3-AC-038,canonical ad-linked conversion requires deterministic traffic-to-sale-event linkage for the exact object/scope and sale stage.
S3-AC-039,material mapping/linkage/coverage gaps block write-grade Max CPC and expose a Provider-to-canonical attribution discrepancy.
S3-AC-040,Allowable CPA economic unit exactly matches the conversion sale stage; tests reject stage mixing and duplicate loss counting.
S3-AC-041,"Max CPC is recalculable from exact stage-consistent versions and is visibly an economic ceiling, not a target."
S3-AC-042,low-sample or estimated conversion cannot produce write-grade Max CPC.
S3-AC-043,"Freshness resolves by Evidence Kind, Platform/Account/Store/Semantic Profile and Decision Purpose."
S3-AC-044,"source age, report completeness, accepted-fact age, publication/correction lag, version validity, coverage and Provider incident may affect Freshness."
S3-AC-045,a newly ingested old fact is not automatically Fresh; a mature cohort/effective policy is not automatically stale.
S3-AC-046,write-grade Freshness cannot be weaker than corresponding Recommendation-grade Freshness.
S3-AC-047,missing/conflicted Freshness Profile blocks only affected purposes and cannot erase an independent Fresh danger.
S3-AC-048,"Optimization Watch, Task, Recommendation and Bid Write qualifications are monotonically stronger."
S3-AC-049,"verified Optimization requires complete scope, coverage, sample sufficiency, sustained signal, material value and canonical profit."
S3-AC-050,"immature, unsustained or immaterial signals receive Watch reason codes and no automatic Task."
S3-AC-051,a decision-determinative data defect becomes Data Repair rather than Watch.
